"lat","lon","numRecords","sppRichness","genRichness","subfamRichness"
-89.5,-179.5,NA,NA,NA,NA
-88.5,-179.5,NA,NA,NA,NA
-87.5,-179.5,NA,NA,NA,NA
-86.5,-179.5,NA,NA,NA,NA
-85.5,-179.5,NA,NA,NA,NA
-84.5,-179.5,NA,NA,NA,NA
-83.5,-179.5,NA,NA,NA,NA
-82.5,-179.5,NA,NA,NA,NA
-81.5,-179.5,NA,NA,NA,NA
-80.5,-179.5,NA,NA,NA,NA
-79.5,-179.5,NA,NA,NA,NA
-78.5,-179.5,NA,NA,NA,NA
-77.5,-179.5,NA,NA,NA,NA
-76.5,-179.5,NA,NA,NA,NA
-75.5,-179.5,NA,NA,NA,NA
-74.5,-179.5,NA,NA,NA,NA
-73.5,-179.5,NA,NA,NA,NA
-72.5,-179.5,NA,NA,NA,NA
-71.5,-179.5,NA,NA,NA,NA
-70.5,-179.5,NA,NA,NA,NA
-69.5,-179.5,NA,NA,NA,NA
-68.5,-179.5,NA,NA,NA,NA
-67.5,-179.5,NA,NA,NA,NA
-66.5,-179.5,NA,NA,NA,NA
-65.5,-179.5,NA,NA,NA,NA
-64.5,-179.5,NA,NA,NA,NA
-63.5,-179.5,NA,NA,NA,NA
-62.5,-179.5,NA,NA,NA,NA
-61.5,-179.5,NA,NA,NA,NA
-60.5,-179.5,NA,NA,NA,NA
-59.5,-179.5,NA,NA,NA,NA
-58.5,-179.5,NA,NA,NA,NA
-57.5,-179.5,NA,NA,NA,NA
-56.5,-179.5,NA,NA,NA,NA
-55.5,-179.5,NA,NA,NA,NA
-54.5,-179.5,NA,NA,NA,NA
-53.5,-179.5,NA,NA,NA,NA
-52.5,-179.5,NA,NA,NA,NA
-51.5,-179.5,NA,NA,NA,NA
-50.5,-179.5,NA,NA,NA,NA
-49.5,-179.5,NA,NA,NA,NA
-48.5,-179.5,NA,NA,NA,NA
-47.5,-179.5,NA,NA,NA,NA
-46.5,-179.5,NA,NA,NA,NA
-45.5,-179.5,NA,NA,NA,NA
-44.5,-179.5,NA,NA,NA,NA
-43.5,-179.5,NA,NA,NA,NA
-42.5,-179.5,NA,NA,NA,NA
-41.5,-179.5,NA,NA,NA,NA
-40.5,-179.5,NA,NA,NA,NA
-39.5,-179.5,NA,NA,NA,NA
-38.5,-179.5,NA,NA,NA,NA
-37.5,-179.5,NA,NA,NA,NA
-36.5,-179.5,NA,NA,NA,NA
-35.5,-179.5,NA,NA,NA,NA
-34.5,-179.5,NA,NA,NA,NA
-33.5,-179.5,NA,NA,NA,NA
-32.5,-179.5,NA,NA,NA,NA
-31.5,-179.5,NA,NA,NA,NA
-30.5,-179.5,NA,NA,NA,NA
-29.5,-179.5,NA,NA,NA,NA
-28.5,-179.5,NA,NA,NA,NA
-27.5,-179.5,NA,NA,NA,NA
-26.5,-179.5,NA,NA,NA,NA
-25.5,-179.5,NA,NA,NA,NA
-24.5,-179.5,NA,NA,NA,NA
-23.5,-179.5,NA,NA,NA,NA
-22.5,-179.5,NA,NA,NA,NA
-21.5,-179.5,NA,NA,NA,NA
-20.5,-179.5,NA,NA,NA,NA
-19.5,-179.5,NA,NA,NA,NA
-18.5,-179.5,NA,NA,NA,NA
-17.5,-179.5,NA,NA,NA,NA
-16.5,-179.5,716,56,21,6
-15.5,-179.5,NA,NA,NA,NA
-14.5,-179.5,NA,NA,NA,NA
-13.5,-179.5,NA,NA,NA,NA
-12.5,-179.5,NA,NA,NA,NA
-11.5,-179.5,NA,NA,NA,NA
-10.5,-179.5,NA,NA,NA,NA
-9.5,-179.5,NA,NA,NA,NA
-8.5,-179.5,NA,NA,NA,NA
-7.5,-179.5,NA,NA,NA,NA
-6.5,-179.5,NA,NA,NA,NA
-5.5,-179.5,NA,NA,NA,NA
-4.5,-179.5,NA,NA,NA,NA
-3.5,-179.5,NA,NA,NA,NA
-2.5,-179.5,NA,NA,NA,NA
-1.5,-179.5,NA,NA,NA,NA
-0.5,-179.5,NA,NA,NA,NA
0.5,-179.5,NA,NA,NA,NA
1.5,-179.5,NA,NA,NA,NA
2.5,-179.5,NA,NA,NA,NA
3.5,-179.5,NA,NA,NA,NA
4.5,-179.5,NA,NA,NA,NA
5.5,-179.5,NA,NA,NA,NA
6.5,-179.5,NA,NA,NA,NA
7.5,-179.5,NA,NA,NA,NA
8.5,-179.5,NA,NA,NA,NA
9.5,-179.5,NA,NA,NA,NA
10.5,-179.5,NA,NA,NA,NA
11.5,-179.5,NA,NA,NA,NA
12.5,-179.5,NA,NA,NA,NA
13.5,-179.5,NA,NA,NA,NA
14.5,-179.5,NA,NA,NA,NA
15.5,-179.5,NA,NA,NA,NA
16.5,-179.5,NA,NA,NA,NA
17.5,-179.5,NA,NA,NA,NA
18.5,-179.5,NA,NA,NA,NA
19.5,-179.5,NA,NA,NA,NA
20.5,-179.5,NA,NA,NA,NA
21.5,-179.5,NA,NA,NA,NA
22.5,-179.5,NA,NA,NA,NA
23.5,-179.5,NA,NA,NA,NA
24.5,-179.5,NA,NA,NA,NA
25.5,-179.5,NA,NA,NA,NA
26.5,-179.5,NA,NA,NA,NA
27.5,-179.5,NA,NA,NA,NA
28.5,-179.5,NA,NA,NA,NA
29.5,-179.5,NA,NA,NA,NA
30.5,-179.5,NA,NA,NA,NA
31.5,-179.5,NA,NA,NA,NA
32.5,-179.5,NA,NA,NA,NA
33.5,-179.5,NA,NA,NA,NA
34.5,-179.5,NA,NA,NA,NA
35.5,-179.5,NA,NA,NA,NA
36.5,-179.5,NA,NA,NA,NA
37.5,-179.5,NA,NA,NA,NA
38.5,-179.5,NA,NA,NA,NA
39.5,-179.5,NA,NA,NA,NA
40.5,-179.5,NA,NA,NA,NA
41.5,-179.5,NA,NA,NA,NA
